date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:03	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263ae048a-247b%22	http://taurine.app/robots.txt		(from )
16:39:03	27219/27219	---M-Z	200	added ('OK')	text/html	etag:W/%2262eb32bf-6a53%22	http://taurine.app/	C:/websites/taurine/taurine.app/index.html	(from )
16:39:04	10892/10892	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-2a8c%22	http://taurine.app/assets/images/favicon.png	C:/websites/taurine/taurine.app/assets/images/favicon.png	(from http://taurine.app/)
16:39:04	633/633	---M-Z	200	added ('OK')	application/json	etag:W/%2262eb32bb-279%22	http://taurine.app/assets/images/manifest.json	C:/websites/taurine/taurine.app/assets/images/manifest.json	(from http://taurine.app/)
16:39:06	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2017%20Jan%202023%2015:39:05%20GMT	https://kit.fontawesome.com/3e816b0875.js	C:/websites/taurine/kit.fontawesome.com/3e816b0875.js	(from http://taurine.app/)
16:39:06	9084/9084	---M-Z	200	added ('OK')	text/css	etag:W/%2262eb32bb-237c%22	http://taurine.app/assets/css/styles.css	C:/websites/taurine/taurine.app/assets/css/styles.css	(from http://taurine.app/)
16:39:08	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%225ebae359-27293%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.0/css/bootstrap.min.css	C:/websites/taurine/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.0/css/bootstrap.min.css	(from http://taurine.app/)
16:39:09	1300/1300	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-514%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	C:/websites/taurine/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	(from http://taurine.app/)
16:39:12	60174/60174	---M-Z	200	added ('OK')	application/javascript	etag:%225ebae359-eb0e%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.0/js/bootstrap.min.js	C:/websites/taurine/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.0/js/bootstrap.min.js	(from http://taurine.app/)
16:39:13	2588/2588	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262eb32bb-a1c%22	http://taurine.app/assets/js/main.js	C:/websites/taurine/taurine.app/assets/js/main.js	(from http://taurine.app/)
16:39:14	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%225eb09ed3-15d84%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/websites/taurine/cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://taurine.app/)
16:41:32	976321/976321	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-ee5c1%22	http://taurine.app/assets/images/icon.png	C:/websites/taurine/taurine.app/assets/images/icon.png	(from http://taurine.app/)
16:41:33	6410/6410	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-190a%22	http://taurine.app/assets/images/Odyssey.png	C:/websites/taurine/taurine.app/assets/images/Odyssey.png	(from http://taurine.app/)
16:41:34	58997/58997	---M-Z	200	added ('OK')	text/html	etag:W/%2262eb32bf-e675%22	http://taurine.app/releases/	C:/websites/taurine/taurine.app/releases/index.html	(from http://taurine.app/)
16:41:37	22373/22373	---M--	200	added ('OK')	image/jpeg	etag:%2262eb32bb-5765%22	http://taurine.app/assets/images/sileo.jpg	C:/websites/taurine/taurine.app/assets/images/sileo.jpg	(from http://taurine.app/)
16:41:41	22149/22149	---M--	200	added ('OK')	image/jpeg	etag:%2262eb32bb-5685%22	http://taurine.app/assets/images/chimera.jpg	C:/websites/taurine/taurine.app/assets/images/chimera.jpg	(from http://taurine.app/)
16:41:48	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:41:42%20GMT	https://github.com/coolstar.png	C:/websites/taurine/github.com/coolstar.10.delayed	(from http://taurine.app/)
16:42:04	1128065/1128065	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-113681%22	http://taurine.app/assets/images/iphones.png	C:/websites/taurine/taurine.app/assets/images/iphones.png	(from http://taurine.app/)
16:42:05	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:41:48%20GMT	https://github.com/Diatrus.png	C:/websites/taurine/github.com/Diatrus.11.delayed	(from http://taurine.app/)
16:42:35	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:42:06%20GMT	https://github.com/23aaron.png	C:/websites/taurine/github.com/23aaron.12.delayed	(from http://taurine.app/)
16:43:00	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:42:35%20GMT	https://github.com/tihmstar.png	C:/websites/taurine/github.com/tihmstar.13.delayed	(from http://taurine.app/)
16:43:09	1980800/1980800	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-1e3980%22	https://taurine.app/assets/images/meta.png	C:/websites/taurine/taurine.app/assets/images/meta.png	(from http://taurine.app/)
16:43:21	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:43:00%20GMT	https://github.com/m1stadev.png	C:/websites/taurine/github.com/m1stadev.14.delayed	(from http://taurine.app/)
16:43:25	2322645/2322645	---M--	200	added ('OK')	image/png	etag:%2262eb32bb-2370d5%22	http://taurine.app/assets/images/iphone.png	C:/websites/taurine/taurine.app/assets/images/iphone.png	(from http://taurine.app/)
16:43:25	9/9	---M-Z	404	error ('Not%20Found')	text/plain	date:Tue,%2017%20Jan%202023%2015:43:22%20GMT	https://github.com/localdevice.png	C:/websites/taurine/github.com/localdevice.15.delayed	(from http://taurine.app/)
16:43:26	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:43:25%20GMT	https://github.com/MegaDeviOS.png	C:/websites/taurine/github.com/MegaDeviOS.16.delayed	(from http://taurine.app/)
16:43:26	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:43:26%20GMT	https://github.com/ModernPwner.png	C:/websites/taurine/github.com/ModernPwner.17.delayed	(from http://taurine.app/)
16:43:27	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2017%20Jan%202023%2015:43:26%20GMT	https://github.com/Pattern-F.png	C:/websites/taurine/github.com/Pattern-F.18.delayed	(from http://taurine.app/)
